date,sales
2020-01-01,224
2020-01-02,197
2020-01-03,240
2020-01-04,289
2020-01-05,205
2020-01-06,209
2020-01-07,304
2020-01-08,268
2020-01-09,210
2020-01-10,264
2020-01-11,218
2020-01-12,222
2020-01-13,261
2020-01-14,157
2020-01-15,170
2020-01-16,232
2020-01-17,212
2020-01-18,282
2020-01-19,224
2020-01-20,202
2020-01-21,349
2020-01-22,267
2020-01-23,284
2020-01-24,212
2020-01-25,258
2020-01-26,293
2020-01-27,232
2020-01-28,310
2020-01-29,263
2020-01-30,280
2020-01-31,266
2020-02-01,389
2020-02-02,297
2020-02-03,245
2020-02-04,340
2020-02-05,238
2020-02-06,310
2020-02-07,201
2020-02-08,233
2020-02-09,309
2020-02-10,335
2020-02-11,306
2020-02-12,291
2020-02-13,281
2020-02-14,220
2020-02-15,257
2020-02-16,268
2020-02-17,342
2020-02-18,305
2020-02-19,197
2020-02-20,299
2020-02-21,261
2020-02-22,244
2020-02-23,306
2020-02-24,324
2020-02-25,316
2020-02-26,224
2020-02-27,248
2020-02-28,276
2020-02-29,305
2020-03-01,229
2020-03-02,240
2020-03-03,190
2020-03-04,181
2020-03-05,278
2020-03-06,301
2020-03-07,226
2020-03-08,275
2020-03-09,239
2020-03-10,184
2020-03-11,230
2020-03-12,285
2020-03-13,202
2020-03-14,278
2020-03-15,64
2020-03-16,232
2020-03-17,191
2020-03-18,167
2020-03-19,183
2020-03-20,75
2020-03-21,159
2020-03-22,184
2020-03-23,236
2020-03-24,132
2020-03-25,113
2020-03-26,125
2020-03-27,192
2020-03-28,159
2020-03-29,113
2020-03-30,162
2020-03-31,138
2020-04-01,178
2020-04-02,91
2020-04-03,107
2020-04-04,101
2020-04-05,45
2020-04-06,131
2020-04-07,127
2020-04-08,112
2020-04-09,98
2020-04-10,37
2020-04-11,85
2020-04-12,88
2020-04-13,63
2020-04-14,94
2020-04-15,122
2020-04-16,195
2020-04-17,109
2020-04-18,113
2020-04-19,96
2020-04-20,20
2020-04-21,98
2020-04-22,103
2020-04-23,224
2020-04-24,92
2020-04-25,117
2020-04-26,102
2020-04-27,46
2020-04-28,163
2020-04-29,145
2020-04-30,149
2020-05-01,66
2020-05-02,184
2020-05-03,46
2020-05-04,148
2020-05-05,230
2020-05-06,74
2020-05-07,98
2020-05-08,135
2020-05-09,108
2020-05-10,58
2020-05-11,143
2020-05-12,90
2020-05-13,170
2020-05-14,104
2020-05-15,231
2020-05-16,119
2020-05-17,146
2020-05-18,206
2020-05-19,108
2020-05-20,185
2020-05-21,244
2020-05-22,102
2020-05-23,196
2020-05-24,204
2020-05-25,234
2020-05-26,138
2020-05-27,138
2020-05-28,234
2020-05-29,227
2020-05-30,229
2020-05-31,238
2020-06-01,191
2020-06-02,241
2020-06-03,248
2020-06-04,202
2020-06-05,335
2020-06-06,269
2020-06-07,189
2020-06-08,285
2020-06-09,207
2020-06-10,299
2020-06-11,321
2020-06-12,225
2020-06-13,318
2020-06-14,293
2020-06-15,316
2020-06-16,373
2020-06-17,268
2020-06-18,245
2020-06-19,241
2020-06-20,247
2020-06-21,286
2020-06-22,308
2020-06-23,307
2020-06-24,336
2020-06-25,296
2020-06-26,369
2020-06-27,284
2020-06-28,434
2020-06-29,330
2020-06-30,256
2020-07-01,246
2020-07-02,324
2020-07-03,288
2020-07-04,335
2020-07-05,322
2020-07-06,294
2020-07-07,254
2020-07-08,220
2020-07-09,272
2020-07-10,336
2020-07-11,302
2020-07-12,227
2020-07-13,296
2020-07-14,305
2020-07-15,239
2020-07-16,288
2020-07-17,281
2020-07-18,218
2020-07-19,290
2020-07-20,297
2020-07-21,320
2020-07-22,316
2020-07-23,191
2020-07-24,209
2020-07-25,278
2020-07-26,275
2020-07-27,271
2020-07-28,434
2020-07-29,266
2020-07-30,290
2020-07-31,277
2020-08-01,258
2020-08-02,205
2020-08-03,255
2020-08-04,174
2020-08-05,196
2020-08-06,180
2020-08-07,204
2020-08-08,311
2020-08-09,98
2020-08-10,221
2020-08-11,102
2020-08-12,155
2020-08-13,228
2020-08-14,173
2020-08-15,112
2020-08-16,126
2020-08-17,192
2020-08-18,117
2020-08-19,161
2020-08-20,149
2020-08-21,110
2020-08-22,247
2020-08-23,168
2020-08-24,31
2020-08-25,139
2020-08-26,93
2020-08-27,166
2020-08-28,81
2020-08-29,113
2020-08-30,141
2020-08-31,157
2020-09-01,51
2020-09-02,93
2020-09-03,84
2020-09-04,73
2020-09-05,193
2020-09-06,124
2020-09-07,39
2020-09-08,147
2020-09-09,207
2020-09-10,152
2020-09-11,24
2020-09-12,75
2020-09-13,163
2020-09-14,64
2020-09-15,122
2020-09-16,139
2020-09-17,55
2020-09-18,99
2020-09-19,20
2020-09-20,53
2020-09-21,93
2020-09-22,45
2020-09-23,191
2020-09-24,40
2020-09-25,92
2020-09-26,122
2020-09-27,190
2020-09-28,49
2020-09-29,182
2020-09-30,127
2020-10-01,80
2020-10-02,156
2020-10-03,146
2020-10-04,109
2020-10-05,146
2020-10-06,127
2020-10-07,156
2020-10-08,187
2020-10-09,237
2020-10-10,100
2020-10-11,272
2020-10-12,72
2020-10-13,166
2020-10-14,208
2020-10-15,196
2020-10-16,155
2020-10-17,180
2020-10-18,171
2020-10-19,170
2020-10-20,246
2020-10-21,226
2020-10-22,178
2020-10-23,262
2020-10-24,236
2020-10-25,266
2020-10-26,261
2020-10-27,192
2020-10-28,209
2020-10-29,279
2020-10-30,276
2020-10-31,248
2020-11-01,258
2020-11-02,320
2020-11-03,230
2020-11-04,290
2020-11-05,256
2020-11-06,259
2020-11-07,327
2020-11-08,317
2020-11-09,319
2020-11-10,346
2020-11-11,284
2020-11-12,319
2020-11-13,272
2020-11-14,306
2020-11-15,285
2020-11-16,298
2020-11-17,324
2020-11-18,255
2020-11-19,401
2020-11-20,247
2020-11-21,238
