date,sales
2023-01-01,169
2023-01-02,188
2023-01-03,200
2023-01-04,243
2023-01-05,170
2023-01-06,143
2023-01-07,344
2023-01-08,206
2023-01-09,283
2023-01-10,199
2023-01-11,250
2023-01-12,251
2023-01-13,228
2023-01-14,157
2023-01-15,187
2023-01-16,248
2023-01-17,222
2023-01-18,189
2023-01-19,363
2023-01-20,220
2023-01-21,198
2023-01-22,232
2023-01-23,295
2023-01-24,245
2023-01-25,251
2023-01-26,255
2023-01-27,258
2023-01-28,168
2023-01-29,231
2023-01-30,229
2023-01-31,219
2023-02-01,212
2023-02-02,242
2023-02-03,214
2023-02-04,234
2023-02-05,257
2023-02-06,189
2023-02-07,208
2023-02-08,218
2023-02-09,248
2023-02-10,234
2023-02-11,183
2023-02-12,208
2023-02-13,395
2023-02-14,236
2023-02-15,200
2023-02-16,214
2023-02-17,199
2023-02-18,388
2023-02-19,157
2023-02-20,297
2023-02-21,206
2023-02-22,238
2023-02-23,193
2023-02-24,267
2023-02-25,155
2023-02-26,160
2023-02-27,198
2023-02-28,194
2023-03-01,361
2023-03-02,364
2023-03-03,384
2023-03-04,204
2023-03-05,166
2023-03-06,224
2023-03-07,206
2023-03-08,195
2023-03-09,161
2023-03-10,348
2023-03-11,173
2023-03-12,99
2023-03-13,210
2023-03-14,235
2023-03-15,180
2023-03-16,179
2023-03-17,166
2023-03-18,236
2023-03-19,118
2023-03-20,144
2023-03-21,171
2023-03-22,182
2023-03-23,205
2023-03-24,116
2023-03-25,167
2023-03-26,137
2023-03-27,226
2023-03-28,139
2023-03-29,183
2023-03-30,246
2023-03-31,156
2023-04-01,98
2023-04-02,125
2023-04-03,130
2023-04-04,200
2023-04-05,140
2023-04-06,262
2023-04-07,150
2023-04-08,174
2023-04-09,102
2023-04-10,316
2023-04-11,140
2023-04-12,317
2023-04-13,161
2023-04-14,169
2023-04-15,231
2023-04-16,130
2023-04-17,158
2023-04-18,166
2023-04-19,120
2023-04-20,152
2023-04-21,344
2023-04-22,77
2023-04-23,154
2023-04-24,154
2023-04-25,204
2023-04-26,203
2023-04-27,163
2023-04-28,193
2023-04-29,142
2023-04-30,92
2023-05-01,340
2023-05-02,306
2023-05-03,172
2023-05-04,191
2023-05-05,351
2023-05-06,166
2023-05-07,118
2023-05-08,358
2023-05-09,233
2023-05-10,224
2023-05-11,345
2023-05-12,205
2023-05-13,176
2023-05-14,194
2023-05-15,226
2023-05-16,392
2023-05-17,204
2023-05-18,274
2023-05-19,455
2023-05-20,388
2023-05-21,332
2023-05-22,268
2023-05-23,209
2023-05-24,179
2023-05-25,227
2023-05-26,421
2023-05-27,204
2023-05-28,166
2023-05-29,195
2023-05-30,236
2023-05-31,357
2023-06-01,322
2023-06-02,439
2023-06-03,324
2023-06-04,211
2023-06-05,242
2023-06-06,253
2023-06-07,228
2023-06-08,253
2023-06-09,279
2023-06-10,214
2023-06-11,334
2023-06-12,245
2023-06-13,261
2023-06-14,260
2023-06-15,401
2023-06-16,247
2023-06-17,202
2023-06-18,196
2023-06-19,230
2023-06-20,290
2023-06-21,286
2023-06-22,192
2023-06-23,184
2023-06-24,193
2023-06-25,263
2023-06-26,250
2023-06-27,196
2023-06-28,233
2023-06-29,260
2023-06-30,219
2023-07-01,167
2023-07-02,189
2023-07-03,241
2023-07-04,220
2023-07-05,245
2023-07-06,349
2023-07-07,392
2023-07-08,322
2023-07-09,200
2023-07-10,167
2023-07-11,205
2023-07-12,232
2023-07-13,169
2023-07-14,324
2023-07-15,323
2023-07-16,159
2023-07-17,130
2023-07-18,110
2023-07-19,218
2023-07-20,117
2023-07-21,156
2023-07-22,348
2023-07-23,147
2023-07-24,159
2023-07-25,270
2023-07-26,299
2023-07-27,130
2023-07-28,201
2023-07-29,124
2023-07-30,150
2023-07-31,104
2023-08-01,385
2023-08-02,313
2023-08-03,185
2023-08-04,167
2023-08-05,65
2023-08-06,116
2023-08-07,279
2023-08-08,136
2023-08-09,337
2023-08-10,109
2023-08-11,91
2023-08-12,252
2023-08-13,108
2023-08-14,210
2023-08-15,323
2023-08-16,121
2023-08-17,135
2023-08-18,194
2023-08-19,127
2023-08-20,294
2023-08-21,125
2023-08-22,185
2023-08-23,249
2023-08-24,200
2023-08-25,181
2023-08-26,295
2023-08-27,151
2023-08-28,178
2023-08-29,149
2023-08-30,192
2023-08-31,206
2023-09-01,332
2023-09-02,304
2023-09-03,110
2023-09-04,239
2023-09-05,193
2023-09-06,203
2023-09-07,189
2023-09-08,187
2023-09-09,89
